,cat,Quantity_f1,Quantity_support,MeasuredProperty_f1,MeasuredProperty_support,MeasuredEntity_f1,MeasuredEntity_support,Qualifier_f1,Qualifier_support,Unit_f1,Unit_support,micro_avg_f1,micro_avg_support,macro_avg_f1,macro_avg_support,weighted_avg_f1,weighted_avg_support,model
0,Earth Science,0.8450704225352114,106,0.453125,66,0.48958333333333337,77,0.18181818181818182,87,0.8521739130434781,52,0.5997322623828647,388,0.564354170146041,388,0.5600846823501076,388,roberta_base
1,Astronomy,0.8249400479616307,211,0.5405405405405405,156,0.6015424164524422,209,0.0,82,0.8976377952755904,121,0.6689750692520776,779,0.5729321600460408,779,0.6325073333904175,779,roberta_base
2,Medicine,0.8953974895397491,123,0.45454545454545453,84,0.5726681127982646,193,0.1923076923076923,47,0.9263157894736842,51,0.6453546453546453,498,0.6082469077329689,498,0.6327735380861281,498,roberta_base
3,Computer Science,0.7272727272727272,23,0.36923076923076925,45,0.5614035087719297,34,0.0,16,0.8181818181818182,10,0.5170731707317074,128,0.4952177646914489,128,0.4735327720525089,128,roberta_base
4,Materials Science,0.9084249084249084,139,0.35227272727272724,140,0.5923076923076923,134,0.06896551724137931,26,0.9433962264150942,77,0.6867335562987736,516,0.5730734143323603,516,0.6383586971719243,516,roberta_base
5,Engineering,0.8163265306122449,197,0.5142857142857143,68,0.5211267605633804,181,0.1702127659574468,86,0.868131868131868,81,0.6538461538461539,613,0.5780167279101309,613,0.6118575496819485,613,roberta_base
6,Chemistry,0.8313725490196079,139,0.3636363636363636,36,0.7281105990783411,108,0.29629629629629634,23,0.8288288288288288,59,0.7307692307692306,365,0.6096489273718875,365,0.7205571337556469,365,roberta_base
7,Biology,0.8727272727272728,30,0.19047619047619052,17,0.7402597402597402,92,0.0,36,0.8979591836734693,22,0.636904761904762,197,0.5402844774273345,197,0.595324424185918,197,roberta_base
8,Agriculture,0.8333333333333334,143,0.48453608247422686,102,0.5231788079470199,173,0.19718309859154928,54,0.851063829787234,69,0.6285140562248995,541,0.5778590304266726,541,0.607154477695259,541,roberta_base
0,Earth Science,0.8818181818181818,106,0.5048543689320388,66,0.5,77,0.041666666666666664,87,0.8448275862068965,52,0.6151645207439199,388,0.5546333607247568,388,0.5485802837757743,388,biomed_roberta_base
1,Astronomy,0.8169014084507042,211,0.5735849056603773,156,0.5963060686015831,209,0.04545454545454545,82,0.8976377952755904,121,0.678470254957507,779,0.5859769446885601,779,0.640327158869663,779,biomed_roberta_base
2,Medicine,0.8828125,123,0.5714285714285715,84,0.5466666666666666,193,0.4067796610169491,47,0.9375,51,0.6853146853146853,498,0.6690374798224374,498,0.6606902574989222,498,biomed_roberta_base
3,Computer Science,0.6666666666666666,23,0.4,45,0.711864406779661,34,0.0,16,0.8695652173913044,10,0.5631067961165049,128,0.5296192581675264,128,0.5174404323262097,128,biomed_roberta_base
4,Materials Science,0.9157509157509158,139,0.3295454545454546,140,0.5384615384615384,134,0.0,26,0.9433962264150942,77,0.6728110599078341,516,0.5454308270346007,516,0.6167075513828476,516,biomed_roberta_base
5,Engineering,0.8020050125313283,197,0.5131578947368421,68,0.42276422764227645,181,0.14893617021276595,86,0.850828729281768,81,0.625,613,0.5475384068809962,613,0.5728151504472269,613,biomed_roberta_base
6,Chemistry,0.8404669260700389,139,0.5,36,0.7150259067357513,108,0.0,23,0.8495575221238938,59,0.7386018237082068,365,0.5810100709859368,365,0.7182783409767297,365,biomed_roberta_base
7,Biology,0.9152542372881356,30,0.30769230769230765,17,0.6713286713286714,92,0.15,36,0.9166666666666666,22,0.6443768996960486,197,0.5921883765951562,197,0.6092248770472981,197,biomed_roberta_base
8,Agriculture,0.8639455782312926,143,0.5979381443298969,102,0.4402985074626866,173,0.23529411764705882,54,0.870748299319728,69,0.6508753861997939,541,0.6016449293981325,541,0.6164381981622393,541,biomed_roberta_base
0,Earth Science,0.8715596330275229,106,0.25974025974025977,66,0.5389221556886228,77,0.08333333333333333,87,0.8347826086956522,52,0.6002971768202081,388,0.5176675980970782,388,0.5198038141339497,388,cs_roberta_base
1,Astronomy,0.8497652582159626,211,0.431924882629108,156,0.5175202156334231,209,0.0,82,0.9003984063745021,121,0.6478454680534917,779,0.539921752570599,779,0.5953667309530285,779,cs_roberta_base
2,Medicine,0.8339483394833949,123,0.5,84,0.4764705882352941,193,0.2909090909090909,47,0.9052631578947369,51,0.6209944751381216,498,0.6013182353045033,498,0.5951317622715425,498,cs_roberta_base
3,Computer Science,0.6976744186046512,23,0.23529411764705882,45,0.576271186440678,34,0.0,16,0.9090909090909091,10,0.5026178010471204,128,0.4836661263566594,128,0.43217872149934977,128,cs_roberta_base
4,Materials Science,0.917562724014337,139,0.31034482758620696,140,0.4336283185840708,134,0.0,26,0.9,77,0.6366782006920415,516,0.5123071740369229,516,0.5782862193610994,516,cs_roberta_base
5,Engineering,0.8220551378446116,197,0.39639639639639646,68,0.5371024734982331,181,0.0,86,0.8351648351648352,81,0.6371347785108388,613,0.5181437685808153,613,0.5771023107045273,613,cs_roberta_base
6,Chemistry,0.899628252788104,139,0.4827586206896552,36,0.5977011494252873,108,0.0,23,0.8739495798319329,59,0.7422360248447205,365,0.5708075205469958,365,0.7083353063846278,365,cs_roberta_base
7,Biology,0.9180327868852459,30,0.31999999999999995,17,0.7236842105263157,92,0.05263157894736842,36,0.8695652173913043,22,0.670807453416149,197,0.5767827587500468,197,0.6121071197953927,197,cs_roberta_base
